date,exchange,status,start_time,end_time,holiday_name
2022-04-15,NYSE,closed,,,Good Friday
2022-05-30,NYSE,closed,,,Memorial Day
2022-06-20,NYSE,closed,,,Juneteenth
2022-07-04,NYSE,closed,,,Independence Day
2022-09-05,NYSE,closed,,,Labor Day
2022-11-24,NYSE,closed,,,Thanksgiving Day
2022-11-25,NYSE,short day,09:30,13:00,Black Friday
2022-12-26,NYSE,closed,,,Christmas Day Observed
2023-01-02,NYSE,closed,,,New Year's Day Observed
2023-01-16,NYSE,closed,,,Martin Luther King's Birthday
2023-02-20,NYSE,closed,,,Washington's Birthday
2023-04-07,NYSE,closed,,,Good Friday
2023-05-29,NYSE,closed,,,Memorial Day
2023-06-19,NYSE,closed,,,Juneteenth
2023-07-03,NYSE,short day,09:30,13:00,Independence Day
2023-07-04,NYSE,closed,,,Independence Day
2023-09-04,NYSE,closed,,,Labor Day
2023-11-23,NYSE,closed,,,Thanksgiving Day
2023-11-24,NYSE,short day,09:30,13:00,Black Friday
2023-12-25,NYSE,closed,,,Christmas Day
2024-01-01,NYSE,closed,,,New Year's Day
2024-01-15,NYSE,closed,,,Martin Luther King's Birthday
2024-02-19,NYSE,closed,,,Washington's Birthday
2024-03-29,NYSE,closed,,,Good Friday
2024-05-27,NYSE,closed,,,Memorial Day
2024-06-19,NYSE,closed,,,Juneteenth
2024-07-03,NYSE,short day,09:30,13:00,Independence Day
2024-07-04,NYSE,closed,,,Independence Day
2024-09-02,NYSE,closed,,,Labor Day
2024-11-28,NYSE,closed,,,Thanksgiving Day
2024-11-29,NYSE,short day,09:30,13:00,Black Friday
2024-12-24,NYSE,short day,09:30,13:00,Christmas Eve
2024-12-25,NYSE,closed,,,Christmas Day
2025-01-01,NYSE,closed,,,New Year's Day
